name,address,lat,long
Tesco Ireland,"[80 Sandymount Rd, Irishtown, Sandymount, Dublin 4, Ireland]",53.3332596,-6.216321
Dunnes Stores,"[Ashleaf Shopping Centre, Cromwellsfort Rd, Crumlin, Dublin 12, Ireland]",53.31650125,-6.32092856
Spar,"[Monkstown Crescent, Dún Laoghaire, Monkstown, Co. Dublin, Ireland]",52.3664513,-7.7642398
Tesco,"[Rathfarnham Shopping Centre, Butterfield Avenue, Rathfarham, Rathfarnham, Dublin 14, Ireland]",53.2957611,-6.2977099
Polonez,"[Moore Street, Dublin 1, North Inner City, Dublin, Ireland]",53.35074929,-6.262925367
Supervalu,"[Unit 9A-C, Heuston South Quarter, St Johns Road W, Island Bridge, Dublin 8, Ireland]",53.34481915,-6.297365427
Tesco,"[Clare Hall, Clarehall, Dublin, Ireland]",53.4014,-6.18129
Dunnes Stores,"[Mayberry Road, Kilnamanagh, Tallaght, Dublin 24, Ireland]",53.2979,-6.36239
Tesco Ireland,"[Janelle Shopping Centre, North Inner City, Dublin 11, Ireland]",53.34806824,-6.248270035
Tesco Ireland,"[4th Floor Gresham House, Marine Road, Dún Laoghaire, Dun Laoghaire, Co. Dublin, Ireland]",53.2933807,-6.1349301
Tesco,"[Upper Rathmines Rd, Rathgar, Dublin 6, Ireland]",53.3206711,-6.26578
Mortons,"[15-17 Dunville Ave, Ranelagh, Cowper, Dublin 6, Ireland]",53.3210182,-6.25629
Tesco,"[Stillorgan, Stillorgan, Stillorgan, Co. Dublin, Ireland]",53.2841492,-6.20859
Tesco Ireland,"[Roselawn View, Blanchardstown, Castleknock, Dublin 15, Ireland]",53.3827896,-6.37816
SuperValu Dalkey,"[37/38 Castle Street, Dalkey, Dalkey, Dublin, Ireland]",53.3433876,-6.269527
Aldi,"[1-4 St Margaret's Court, Finglas, Finglas, Dublin 11, Ireland]",53.39893634,-6.304230008
Centra,"[Merchants Arch, Temple Bar, Temple Bar, Dublin 2, Ireland]",53.345829,-6.2628999
Spar,"[Mayor Street, IFSC, East Wall, Dublin 1, Ireland]",53.3485718,-6.2329001
Tesco Ireland,"[The Park Shopping Centre, Prussia Street, Grangegorman, Dublin 7, Ireland]",53.3554916,-6.2876201
Tesco Ireland,"[Dundrum Shopping Centre, Stillorgan, South Inner City, Dublin, Ireland]",53.3441,-6.26749
Spar,"[47 Nassau St, South Inner City, Dublin 2, Ireland]",53.3430214,-6.2590599
Eurasia Supermarket,"[Unit 1, Fonthill Retail Park, Fonthill Road, Dublin, Lucan, Lucan, Dublin 22, Ireland]",53.34730148,-6.44107008
Spar,"[2-4 Merrion Row, South Inner City, Dublin 2, Ireland]",53.3383255,-6.2538109
Lidl,"[Clonkeen Rd, Cornelscourt, Deansgrange, Co. Dublin, Ireland]",53.2745705,-6.1618199
Shop Easi,"[63 Clanbrassil Street Lower, South Circular Road, Dublin 8, Ireland]",53.3328896,-6.2755499
Aldi,"[Long Mile Road, Walkinstown, Dublin 12, Ireland]",53.3236618,-6.3404999
Tesco Ireland,"[Vevay Road, Bray, Co. Wicklow, Ireland]",53.1914291,-6.10463
Tesco Ireland,"[15 Lower Baggot Street, South Inner City, Dublin 2, Ireland]",53.3335419,-6.2448001
Lidl,"[Beechlawn Way, Terenure, Terenure, Dublin, Ireland]",53.31034863,-6.281407624
Dunnes Stores,"[Carmanhall Road, Sandyford, Stillorgan, Dublin 18, Ireland]",53.2775497,-6.2123299
East Wall Market,"[149 Church Road, East Wall, East Wall, Dublin, Ireland]",53.3550415,-6.23525
Shabnam Foods,"[3 Richmond Street South, Harcourt, Dublin 2, Ireland]",53.3323708,-6.2643199
Lidl,"[Blakestown Way, Blanchardstown, Blanchardstown, Dublin 15, Ireland]",53.39586724,-6.400275686
Centra,"[Dame Street, South Inner City, Dublin 2, Ireland]",53.3441811,-6.2648001
