"roll_no","a1","a2","a3","a4","a5","name","county","total","lat","long","type","sum","l1","l2","l3","l4","l5","l6","l7","l8","l9","l10","l11","l12","l13","l14","l15","l16","l17","l18","l19","l20"
"60581M",0,0,1,0,0,"St Kevins College","Dublin",517,53.3854496293479,-6.27738723082867,"PP",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60590N",0,0,0,0,1,"St Conleths College","Dublin",244,53.3279637016606,-6.24034785262477,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"60640C",0,0,0,0,1,"Sandford Park School Ltd","Dublin",241,53.3221955885446,-6.25019058611658,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"60660I",0,0,0,0,1,"St Patricks Cathedral G.S","Dublin",122,53.3390687019329,-6.27155549141106,"PP",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"60670L",0,0,0,0,1,"The High School","Dublin",766,53.3057907780258,-6.27327543290119,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"60690R",0,1,0,0,0,"Dominican College","Dublin",713,53.3743379360534,-6.24927027540054,"PP",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"60700R",1,0,0,0,0,"Scoil Chaitriona","Dublin",422,53.3746182956238,-6.26230195952475,"PP",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"60710U",0,0,0,0,1,"Muckross Park College","Dublin",712,53.3216697618392,-6.24254296023155,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"60720A",0,0,0,1,0,"Saint Dominic's Secondary School","Dublin",373,53.3447140091685,-6.34714321530894,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"60731F",1,0,0,0,0,"St Dominics College","Dublin",875,53.3713630503444,-6.30715040137771,"PP",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60732H",0,0,0,1,0,"Caritas College","Dublin",280,53.3490286153341,-6.3596059615493,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"60741I",0,0,1,0,0,"St Michaels Secondary School","Dublin",591,53.3871988266877,-6.30162182277041,"PP",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60750J",0,1,0,0,0,"Holy Faith Secondary School","Dublin",637,53.3601865770904,-6.19749999006447,"PP",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"60770P",1,0,0,0,0,"St Mary's Secondary School","Dublin",723,53.3761892537946,-6.27271196769974,"PP",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"60791A",0,1,0,0,0,"St Marys Secondary School","Dublin",390,53.3790008146791,-6.20207033054425,"PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60792C",0,0,0,1,0,"Presentation College","Dublin",278,53.3359780105977,-6.27780584551364,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"60800V",0,0,0,1,0,"Loreto College","Dublin",459,53.3294521505257,-6.29770287236813,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"60820E",0,0,0,0,1,"Loreto College","Dublin",577,53.3368254553183,-6.25634758010657,"PP",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"60840K",0,1,0,0,0,"Maryfield College","Dublin",666,53.3759808823011,-6.23513738231243,"PP",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60841M",0,0,0,1,0,"Rosary College","Dublin",173,53.3186819228659,-6.30746600341025,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"60843Q",1,0,0,0,0,"St Josephs Secondary School","Dublin",228,53.3526502114341,-6.28174438058748,"PP",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"60851P",0,0,0,1,0,"Assumption Secondary School","Dublin",338,53.3222303934476,-6.33162371914272,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"60852R",0,0,1,0,0,"Mater Christi","Dublin",202,53.3921172084296,-6.32280251724691,"PP",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60853T",1,0,0,0,0,"Mount Carmel Secondary School","Dublin",323,53.3520158904415,-6.2683281532226,"PP",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"60870T",0,1,0,0,0,"Our Lady Of Mercy College","Dublin",375,53.3867348766583,-6.23072423466807,"PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60871V",0,1,0,0,0,"Mercy College Coolock","Dublin",422,53.386043302543,-6.19831638108714,"PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60872A",0,0,0,1,0,"Mercy Secondary School","Dublin",174,53.3367697461106,-6.32200311235236,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"60890C",0,0,0,0,1,"St Louis High School","Dublin",656,53.3213940084283,-6.27039412752014,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"60892G",0,0,0,0,1,"The Teresian School","Dublin",188,53.3149387500424,-6.22794887031706,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"60910F",0,0,0,0,1,"Alexandra College","Dublin",443,53.3104926300193,-6.24999421890105,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"60990G",0,0,0,1,0,"Ardscoíl Éanna (Meanscoil Chroimghlinne)","Dublin",137,53.3271258067458,-6.31295551601389,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"60991I",0,0,0,1,0,"Our Lady Of Mercy Secondary School","Dublin",282,53.3309524051997,-6.31921426339717,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"61020A",0,0,0,0,1,"Stratford College","Dublin",97,53.3096969029001,-6.27431805377512,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"68071G",0,0,0,0,1,"John Scottus Secondary School","Dublin",136,53.3253798930974,-6.24063432748579,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"70150O",1,0,0,0,0,"Cabra Community College","Dublin",166,53.3687711476439,-6.2942569695841,"PP",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70160R",0,0,0,1,0,"St. Kevins College","Dublin",306,53.3273139166874,-6.29459090106559,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"70170U",0,0,0,1,0,"Crumlin College Of Further Education","Dublin",666,53.3290775457069,-6.30336777958732,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"70180A",0,0,1,0,0,"Coláiste Eoin","Dublin",131,53.3880457638195,-6.30937432656324,"PP",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70190D",0,0,1,0,0,"Colaiste Ide College of Further Education","Dublin",723,53.3864798943062,-6.31175113194084,"PP",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70200D",0,0,0,0,1,"Ringsend College","Dublin",155,53.3437982683252,-6.22403405950902,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"70220J",0,0,0,1,0,"Inchicore College of Further Education","Dublin",801,53.3402841770857,-6.31305623438453,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"70230M",0,1,0,0,0,"Killester College of Further Education","Dublin",344,53.3712648999201,-6.20829848988072,"PP",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70240P",0,0,0,1,0,"Kylemore College","Dublin",343,53.3451180146629,-6.35166245260996,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"70250S",0,1,0,0,0,"Marino College","Dublin",626,53.3644078429426,-6.23157467191189,"PP",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70280E",0,0,0,0,1,"Rathmines College","Dublin",676,53.3240832159584,-6.26498718022355,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"70290H",0,0,0,0,1,"Ballsbridge College of Further Education","Dublin",449,53.3299632598731,-6.23140750814397,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"70300H",0,0,0,1,0,"Pearse College - Colaiste an Phiarsaigh","Dublin",711,53.3265073395246,-6.29474315825978,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"70310K",0,0,1,0,0,"Plunket College","Dublin",462,53.3794452772524,-6.24826418975054,"PP",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"70320N",1,0,0,0,0,"Whitehall House Senior College","Dublin",575,53.3718520986438,-6.26636711464997,"PP",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"70321P",0,0,1,0,0,"Margaret Aylward Community College","Dublin",220,53.3840038725306,-6.24050184587978,"PP",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70330Q",0,1,0,0,0,"Coláiste Dhúlaigh","Dublin",326,53.396806707873,-6.21312174509288,"PP",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70340T",0,0,0,0,1,"Liberties College","Dublin",797,53.3408013971842,-6.27116978284985,"PP",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"70342A",0,0,0,1,0,"Ballyfermot College of Further Education","Dublin",1456,53.3401434399924,-6.35207358710687,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"76077O",1,0,0,0,0,"Larkin Community College","Dublin",441,53.352257842671,-6.25779014507177,"PP",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"76092K",0,0,0,1,0,"PRESENTATION COLLEGE","Dublin",308,53.3109648064838,-6.28684048447743,"PP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"81002K",0,1,0,0,0,"Mount Temple Comprehensive School","Dublin",880,53.3686791822101,-6.22269840013051,"PP",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81017A",0,0,1,0,0,"TRINITY COMPREHENSIVE SCHOOL","Dublin",395,53.393174140571,-6.26226747625183,"PP",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91344V",0,1,0,0,0,"Rosmini Community School","Dublin",248,53.3712110844464,-6.24501109790629,"PP",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
