name,lat,long,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Ballymun Library,53.3904467,-6.2651322410784,10-8,10-8,10-8,10-8,10-5,10-5,Closed
Cabra Library,53.3616273,-6.2996997101616,10-8,10-8,10-8,10-8,10-5,10-5,Closed
Finglas Library,53.3888656,-6.29935964844185,1-8,10-5,1-8,10-5,10-5,10-5,Closed
Coolock Library,53.3962542,-6.21196745406995,10-8,10-8,10-8,10-8,10-5,10-5,Closed
Donaghmede Library,53.39475455,-6.16223912037449,1-8,10-5,10-5,1-8,10-5,10-5,Closed
Marino Library,53.36441315,-6.2315291051424,"12.45-4, 4.45-8","10-1, 2-5","12.45-4, 4.45-8","10-1, 2-5","10-1, 2-5","10-1, 2-5",Closed
Raheny Library,53.38004005,-6.17318587337154,10-8,10-8,10-8,10-8,10-5,10-5,Closed
Dublin Central Library,53.35013225,-6.26472482696848,10-8,10-8,10-8,10-8,10-5,10-5,Closed
Charleville Mall Library,53.3571699,-6.24609,"10-1, 2-5","10-1, 2-5","10-1, 2-5","10-1, 2-5","10-1, 2-5","10-1, 2-5",Closed
Drumcondra Library,53.36988445,-6.25901136876033,"10-1, 2-5","12.45-4, 4.45-8","10-1, 2-5","12.45-4, 4.45-8","10-1, 2-5","10-1, 2-5",Closed
Phibsborough Library,53.36112515,-6.2710252132335,"12.45-4, 4.45-8","10-1, 2-5","12.45-4, 4.45-8","10-1, 2-5","10-1, 2-5","10-1, 2-5",Closed
Pearse Street Library,53.3433555,-6.2455325,10-8,10-8,10-8,10-8,10-5,10-5,Closed
Pembroke Library,53.3281248,-6.2304831,1-8,1-8,10-5,10-5,"10-1, 1.45-5","10-1, 1.45-5",Closed
Rathmines Library,53.32417975,-6.26556935409653,10-8,10-8,10-8,10-8,10-5,10-5,Closed
Ringsend Library,53.34150785,-6.22642101296301,"12.45-4, 4.45-8","10-1, 2-5","12.45-4, 4.45-8","10-1, 2-5","10-1, 2-5","10-1, 2-5",Closed
Terenure Library,53.3089834,-6.2852821,1-8,10-5,1-8,10-5,10-5,10-5,Closed
Ballyfermot Library,53.3399207,-6.3518021482939,10-8,10-8,10-8,10-8,10-5,10-5,Closed
Dolphin's Barn Library,53.33137165,-6.29196793874434,1-8,10-5,1-8,10-5,10-5,10-5,Closed
Inchicore Library,53.3404057,-6.3097382,"12.45-4, 4.45-8","10-1, 2-5","12.45-4, 4.45-8","10-1, 2-5","10-1, 2-5","10-1, 2-5",Closed
Walkinstown Library,53.3186878,-6.32175015139046,1-8,10-5,1-8,10-5,"10-1, 1.45-5","10-1, 1.45-5",Closed
